ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
ID_electricity_bus_shortage,source,0,0,12.76,0,0.93,1397.52,0,0,0,2208076.96
ID_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_pv_bus_excess,sink,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_hp_electricity_bus_shortage,source,0,0,24.09,0,1.35,1934.78,0,0,0,4168564.69
district_chp_electricity_bus_excess,sink,7870.76,0,0.0,0,327.95,-195926.92,0,0,0,-1077310801.22
district_gas_bus_shortage,source,0,0,22487.9,0,937.0,574565.76,0,0,0,0.0
ID_pv_to_ID_electricity_link,link,0.0,0,0.0,0,0.0,0.0,0.0,5.0,5,0.0
ID_electricity_to_ID_hp_electricity_bus,link,0.0,0,0.0,0,0.0,0.0,0.0,8.0,8,0.0
ID_electricity_sink,sink,12.77,0,0.0,0,0.93,0.0,0,0,0,0.0
ID_heat_sink,sink,79.67,0,0.0,0,4.94,0.0,0,0,0,0.0
ID_heat_sink_window-insulation,insulation,0,0,5.71,0,0.35,0.0,43122.84,0.35,0.35,393.5
ID_cooling_sink,sink,120.0,0,0.0,0,5.0,0.0,0,0,0,0.0
ID_battery_storage,storage,0.0,0,0.0,0,2.0,0.0,1400.0,20.0,20,8000.0
ID_thermal_storage,storage,0.0,0,0.0,0,3.2,0.0,32.0,32.0,32,3200.0
ID_photovoltaic_electricity_source,source,0,0,0.0,0,0.0,0.0,630.0,7.0,7,65.51
ID_solar_thermal_source,source,0.0,0.0,0.0,0,0.0,0.0,320.0,8.0,8,0.0
ID_gasheating_transformer,transformer,0.0,0,0.0,0,0.0,0.0,1330.0,19.0,19,0.0
ID_GCHP_transformer,transformer,56.83,17.13,73.97,0,4.59,0.0,577.85,5.0,5,0.0
ID_ASCH_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,1100.0,11.0,11,0.0
ID_AbsCH_transformer,transformer,139.23,6.96,120.0,0,5.0,0.0,900.0,9.0,9,0.0
ID_ASHP_transformer,transformer,0.0,0.0,0.0,0,0.0,0.0,225.56,2.0,2,0.0
ID_chp_transformer,transformer,22487.9,0,7870.76,12368.34,327.95,0.0,137150.0,2743.0,2743,2144361499.58
ID_Diameter65L_f0-c0_exergy,dh,13.97,0,0.0,0,0.58,0.0,2321.45,9999.0,9999.0,16593.0
district_heat_bus_Diameter65L_p0-f4_exergy,dh,12368.34,0,12357.16,0,514.88,0.0,1857.45,9999.0,9999.0,13276.52
ID_street1_Diameter65L_f1-f0_exergy,dh,0.0,0,-6216.39,0,-259.02,0.0,1032816.01,9999.0,9999.0,7382260.92
ID_street1_Diameter65L_f0-f4_exergy,dh,-6230.37,0,-6250.83,0,-260.45,0.0,3399.47,9999.0,9999.0,24298.41
ID_street1_Diameter65L_f4-f2_exergy,dh,6106.34,0,0.0,0,254.43,0.0,1014530.88,9999.0,9999.0,7251564.32
dh_heat_house_station_ID,transformer,0.0,0,0.0,0,0.0,0.0,0.0,0.0,10989,0.0
district_heat_bus_dh_source_link_exergy,transformer,12368.34,0,12368.34,0,515.35,0.0,0,0,,0.0
