Costs,Emissions,Folder
329336.02,6727650.16,2
189703.14,5370084.33,3
3035557.51,1082730613.02,5
324858.87,2262216.95,6
2787263.9,1085292642.87,14
107972.77,5944036.07,16
2773785.14,1089116712.16,26
2698311.82,1082854353.17,30
246298.19,6327265.69,39
374293.19,8192897.05,43
2850965.95,1086232971.96,44
3051314.71,1084705565.22,53
2933887.23,1083070013.48,56
2621687.3,1083628913.74,59
2924052.03,1089305506.46,61
2876376.74,1086360560.99,64
347080.77,4472787.72,66
2647090.56,1085243715.4,67
195555.12,4160154.49,69
18067.18,3266710.52,71
2921813.37,1088600316.56,75
781456.39,3953967.69,76
2535704.32,1084821451.18,78
2769917.91,1087590006.25,85
535709.03,1017758.95,87
2596170.28,1086223029.24,88
651308.25,2249652.94,93
2821046.18,1085861250.76,94
559462.59,5784684.72,95
19307.45,5788597.64,97
2724251.96,1090250104.93,99
378780.11,2982118.82,101
144044.31,4633002.1,102
2915578.71,1084089727.36,109
391053.76,4939083.52,113
3037497.33,1083954029.19,119
317598.38,3758021.74,125
2500826.54,1088366084.15,136
511520.6,1853137.5,137
2836985.18,1084035724.97,140
533051.74,5064745.48,142
424481.4,2379493.17,144
2563441.31,1088578498.21,147
489682.23,3603309.55,159
747712.77,2013228.16,163
457311.53,7097619.35,164
2811750.66,1082784690.61,167
2944482.29,1087634939.45,171
449502.41,1608098.02,173
295413.37,5536016.4,176
2632603.6,1084135478.62,177
490713.75,1396751.97,182
160141.69,1808548.37,187
2504989.35,1086322727.39,192
297588.03,2628949.72,193
2616062.0,1082890721.67,196
2942849.53,1087893501.12,198
2843480.29,1085281704.44,199
2931707.97,1086901801.48,202
2738783.93,1085762012.23,205
269876.79,4266649.95,209
350968.75,5513801.8,211
440296.06,4116977.71,212
2854288.29,1087827410.9,215
38897.4,4625982.76,221
3031215.87,1085638628.73,222
336055.9,5750477.45,225
2794414.24,1086062004.92,228
2886450.99,1085847827.09,230
365111.97,996065.57,231
94951.98,6374797.33,234
484979.58,5023579.88,235
2864779.09,1084819884.84,237
449362.51,2397484.12,239
414065.62,8051174.29,244
2926281.15,1086775420.89,245
2696286.11,1087178091.62,246
400864.97,1391951.91,249
409205.28,5569280.7,250
42737.41,9873180.75,252
2591071.57,1086886330.9,258
443852.16,7485011.05,259
2910569.78,1085469163.11,263
349106.89,972556.44,267
2881037.03,1082948995.93,271
3158560.84,1082531534.34,273
536384.55,4459402.28,274
2697042.76,1088626526.41,275
379407.98,3885525.3,282
536820.37,5447325.48,289
2793454.06,1087514298.05,290
2786357.08,1088408195.6,291
2786175.73,1088097034.65,293
588368.0,6199820.63,294
226821.18,1385588.29,299
2567627.24,1084543850.92,300
554110.99,5310592.15,301
283134.7,5274438.25,304
300618.05,2916187.77,305
183656.41,2499935.89,306
2837892.87,1084652306.06,311
80840.47,5594953.62,312
372729.27,1076267.63,314
2692053.38,1086825854.33,316
2848471.18,1086133864.16,320
485911.51,6340431.45,321
2706364.03,1086584022.39,325
151163.98,2480921.72,326
64654.11,2426530.41,327
227383.99,6584849.41,328
705335.02,1599234.7,329
2824284.79,1089131841.59,332
513942.81,2692522.43,337
2885103.97,1082631866.92,338
2979367.93,1084823288.63,341
2485244.83,1086484336.0,342
2794375.9,1084542282.88,344
2897493.17,1086174869.33,345
56275.16,3904779.43,346
433868.3,840962.01,347
354253.86,4603442.74,349
44349.13,8185073.55,350
2994281.11,1084843268.4,353
2764464.81,1088818927.59,354
2845091.08,1086704406.82,355
499098.46,7721738.17,360
2901082.2,1086052185.25,362
3100186.58,1086341577.96,368
441629.42,5720126.76,369
2881121.39,1086216646.11,372
2846086.23,1087663984.47,373
2766362.26,1090719830.04,375
2816410.12,1085808585.59,382
3063489.68,1084966871.31,383
2916722.01,1084847096.31,384
391560.2,3881438.47,391
367987.92,2599454.12,395
499902.87,3927278.58,397
163759.76,7283987.63,403
169642.38,1182739.99,406
393499.97,4400642.27,408
488271.08,7397723.15,413
2628239.31,1086663603.47,414
322629.9,4199672.09,415
335745.55,6561171.41,417
3088200.52,1085178471.17,419
2807060.1,1083117542.09,420
2524356.42,1088126002.34,421
2900390.93,1084097961.64,424
2863680.32,1086165138.48,427
746070.87,3587394.78,428
754658.71,4787429.76,429
2790681.66,1090730747.48,430
2917660.64,1083862698.95,432
3043131.77,1085693748.83,433
2905248.04,1085322048.98,438
2622638.4,1085095919.67,439
2901936.91,1084898097.32,440
687053.48,6716434.41,442
2488322.95,1084609872.5,444
211577.79,1032721.64,445
644258.55,1007035.02,448
2467839.25,1090126508.77,449
3138544.0,1085327041.47,452
421378.3,8884135.64,455
157337.79,4536465.39,458
211262.76,1635249.45,459
373564.95,7248756.83,460
2498325.71,1089491522.44,461
136629.99,4698012.05,462
362409.51,4598413.56,470
363283.48,5566644.96,472
57058.5,7231923.72,475
418469.71,3290862.43,476
201997.32,2537727.8,479
327586.1,3748590.31,482
2778442.81,1088807006.02,484
2908038.78,1085954330.91,487
660249.87,1147248.17,488
2870247.41,1084091577.62,494
2825487.03,1085314069.78,496
2708540.43,1088871421.1,497
3126204.32,1083470240.33,502
2792983.5,1084485249.58,511
2658654.62,1086066053.36,512
373549.05,2914224.35,516
2663838.03,1089605661.4,520
376034.65,3985937.48,524
468252.04,4704104.13,526
293737.23,5935950.66,528
353149.56,1329376.17,534
507181.88,1157933.02,535
2748644.66,1088434213.69,536
560213.34,1627231.72,538
493360.72,4234448.61,542
160466.68,10020713.94,543
455216.19,5127599.32,548
2770724.69,1082811879.08,551
2889974.27,1091765610.25,553
2499265.67,1085889737.26,556
172612.12,5459264.69,561
2809137.76,1086319192.61,563
478213.33,3843402.46,564
2562033.71,1085242975.06,565
650612.88,3730794.11,567
52601.55,5802912.04,572
505761.86,5027907.97,576
478275.98,2718350.48,578
2816951.32,1086649453.67,579
2502657.8,1090140543.71,584
349388.25,3386399.15,585
191779.83,1134931.29,589
214441.36,3196500.59,590
2820608.14,1085096550.06,591
172096.28,6780059.59,600
2640310.79,1084665172.38,604
2541782.98,1086535185.07,605
2938065.06,1089313250.52,608
335023.96,3467600.56,609
156418.41,5543066.63,610
2538189.91,1083618913.76,613
2855506.46,1085430873.68,615
136513.95,5510356.94,616
3100029.5,1084756636.64,624
2628333.4,1089031016.24,633
482945.88,1987842.96,636
3166606.27,1082819077.14,637
680699.9,1028501.41,645
160194.04,5961431.44,650
93054.96,2147879.59,654
364799.51,1979745.2,663
2699885.97,1084948218.1,669
328011.9,4151244.67,675
67682.71,3767986.53,676
497047.35,3557057.11,679
59136.45,3558674.56,680
2907259.81,1086921881.02,681
275519.18,1948699.96,682
2689113.86,1086260325.57,685
125007.59,5353744.64,697
2843283.58,1088401163.58,699
570636.52,8305081.47,701
788533.67,2614990.08,709
2955961.3,1082915278.33,710
420212.43,2387083.87,711
446462.43,8630676.04,712
327043.84,1037656.79,714
440479.22,3458239.29,715
2757916.21,1085016267.71,719
514606.4,4866587.26,722
2860924.64,1090041331.15,724
489037.28,3782152.32,725
3161088.7,1083655688.66,726
470555.85,979575.12,730
568958.39,1098023.09,731
574920.3,1266515.94,732
362670.03,3905290.68,736
357270.48,5358689.96,737
502104.5,4529963.59,739
2780853.61,1088435046.46,748
18918.1,2753931.15,750
170011.12,5334069.5,753
2616362.0,1087731164.02,758
2566336.43,1087249097.59,763
2694278.12,1087501282.32,768
794986.0,800687.76,771
208898.57,1488270.58,772
282615.19,3253156.03,774
2844078.25,1084778640.41,777
533346.21,1173906.92,779
3049207.5,1087207704.64,780
601971.79,1002048.6,782
525626.15,4274330.64,784
2903437.82,1084204651.05,787
729399.63,862299.18,788
