Processing Time,Memory Usage
0 days 00:00:01.773720,340.62890625
0 days 00:00:01.950635,354.5390625
0 days 00:00:01.418962,354.90625
0 days 00:00:01.571447,359.30078125
0 days 00:00:01.133507,359.66796875
0 days 00:00:01.165295,361.24609375
0 days 00:00:01.644684,362.8203125
0 days 00:00:01.807635,363.32421875
0 days 00:00:01.900471,370.875
0 days 00:00:01.920026,370.984375
0 days 00:00:01.420687,367.9765625
0 days 00:00:01.111229,373.69921875
0 days 00:00:01.465483,373.49609375
0 days 00:00:02.015468,375.35546875
0 days 00:00:01.189296,377.4296875
0 days 00:00:01.031316,375.56640625
0 days 00:00:01.523429,378.640625
0 days 00:00:00.897076,376.7421875
0 days 00:00:01.468117,378.65234375
0 days 00:00:00.701735,379.44921875
0 days 00:00:01.157053,381.015625
0 days 00:00:00.675591,381.02734375
0 days 00:00:01.206170,381.8828125
0 days 00:00:01.038354,383.93359375
0 days 00:00:00.926194,387.51953125
0 days 00:00:01.067996,388.296875
0 days 00:00:01.032127,388.13671875
0 days 00:00:00.814509,390.546875
0 days 00:00:01.128729,390.13671875
0 days 00:00:00.993538,391.25
0 days 00:00:00.818800,396.8359375
0 days 00:00:01.235180,395.9296875
0 days 00:00:00.974957,398.03515625
0 days 00:00:01.116467,399.76171875
0 days 00:00:00.796603,400.23828125
0 days 00:00:01.011700,401.4453125
0 days 00:00:00.645247,405.7265625
0 days 00:00:00.838448,404.625
0 days 00:00:01.330110,405.51953125
0 days 00:00:00.969894,404.73828125
0 days 00:00:01.115666,406.98046875
0 days 00:00:00.894495,408.015625
0 days 00:00:00.804326,407.671875
0 days 00:00:00.638351,408.3671875
0 days 00:00:00.951280,411.26953125
0 days 00:00:00.828815,410.17578125
0 days 00:00:00.978102,411.9375
0 days 00:00:00.944350,417.27734375
0 days 00:00:00.944304,417.9375
0 days 00:00:01.008594,417.45703125
0 days 00:00:01.187415,419.57421875
0 days 00:00:00.862996,419.51953125
0 days 00:00:01.372863,421.33203125
0 days 00:00:00.692534,420.30078125
0 days 00:00:00.858536,420.46875
0 days 00:00:01.978541,419.60546875
0 days 00:00:01.149728,421.625
0 days 00:00:00.625489,423.5859375
0 days 00:00:00.939276,424.3984375
0 days 00:00:01.025761,426.52734375
0 days 00:00:00.977464,427.578125
0 days 00:00:00.884158,428.05078125
0 days 00:00:02.260004,425.97265625
0 days 00:00:00.850400,428.41015625
0 days 00:00:01.152689,430.31640625
0 days 00:00:01.031626,432.078125
0 days 00:00:00.689131,431.76953125
0 days 00:00:00.630731,431.22265625
0 days 00:00:01.154158,434.390625
0 days 00:00:00.661351,435.73828125
0 days 00:00:00.663527,434.5078125
0 days 00:00:01.288503,437.109375
0 days 00:00:01.263118,439.19921875
0 days 00:00:01.366558,443.67578125
0 days 00:00:01.158190,444.28125
0 days 00:00:00.951155,445.0390625
0 days 00:00:00.933253,447.40234375
0 days 00:00:01.159217,448.4296875
0 days 00:00:01.083420,452.40234375
0 days 00:00:01.139654,453.92578125
0 days 00:00:00.642414,459.84765625
0 days 00:00:00.839968,456.47265625
0 days 00:00:01.110952,459.1328125
0 days 00:00:00.963223,460.3828125
0 days 00:00:00.702753,458.734375
0 days 00:00:00.790703,456.18359375
0 days 00:00:00.973202,463.31640625
0 days 00:00:00.894064,460.31640625
0 days 00:00:00.941010,462.953125
0 days 00:00:01.099491,464.08203125
0 days 00:00:00.936477,470.7421875
0 days 00:00:00.640963,467.5234375
0 days 00:00:00.815705,466.85546875
0 days 00:00:00.642466,466.73046875
0 days 00:00:00.804408,467.90625
0 days 00:00:01.107759,470.01953125
0 days 00:00:01.331459,481.76953125
0 days 00:00:00.932412,477.47265625
0 days 00:00:00.892024,476.41796875
0 days 00:00:00.795721,479.7578125
0 days 00:00:00.642454,476.6875
0 days 00:00:00.944499,479.65625
0 days 00:00:00.843606,479.8203125
0 days 00:00:01.361828,480.72265625
0 days 00:00:00.928017,482.18359375
0 days 00:00:00.919483,480.578125
0 days 00:00:01.179397,483.109375
0 days 00:00:00.880844,485.296875
0 days 00:00:00.604365,484.89453125
0 days 00:00:00.890502,485.66015625
0 days 00:00:00.841025,485.08984375
0 days 00:00:01.047243,492.54296875
0 days 00:00:00.962635,490.51953125
0 days 00:00:01.134875,491.72265625
0 days 00:00:00.975366,492.7421875
0 days 00:00:01.201297,505.328125
0 days 00:00:00.801758,508.03125
0 days 00:00:01.249621,502.01953125
0 days 00:00:00.852669,507.90625
0 days 00:00:00.915675,493.9765625
0 days 00:00:00.646445,497.58984375
0 days 00:00:01.339508,502.8046875
0 days 00:00:00.927244,497.54296875
0 days 00:00:01.064545,504.20703125
0 days 00:00:00.971581,506.375
0 days 00:00:00.949677,511.6796875
0 days 00:00:01.405233,508.9609375
0 days 00:00:00.864155,511.765625
0 days 00:00:01.251614,513.89453125
0 days 00:00:01.866701,509.7578125
0 days 00:00:01.140310,518.12890625
0 days 00:00:01.367510,530.59765625
0 days 00:00:00.661088,531.0859375
0 days 00:00:01.257783,527.30078125
0 days 00:00:01.079686,529.484375
0 days 00:00:00.835271,518.703125
0 days 00:00:00.948461,530.03515625
0 days 00:00:01.347837,530.94921875
0 days 00:00:01.240646,538.8515625
0 days 00:00:01.224419,538.65625
0 days 00:00:01.180920,542.38671875
0 days 00:00:00.817897,545.18359375
0 days 00:00:01.192948,541.37890625
0 days 00:00:00.626477,543.4296875
0 days 00:00:01.111467,544.08984375
0 days 00:00:01.259985,549.91015625
0 days 00:00:01.281755,550.6171875
0 days 00:00:01.365344,554.15625
0 days 00:00:00.883377,555.6484375
0 days 00:00:00.947629,559.703125
0 days 00:00:00.652578,558.5078125
0 days 00:00:00.669227,557.15625
0 days 00:00:00.599352,557.89453125
0 days 00:00:00.776263,558.47265625
0 days 00:00:00.642003,557.93359375
0 days 00:00:02.176186,556.875
0 days 00:00:00.670249,558.7109375
0 days 00:00:00.647952,550.765625
0 days 00:00:00.846397,560.3046875
0 days 00:00:01.267786,558.625
0 days 00:00:01.303226,564.859375
0 days 00:00:00.876520,565.765625
0 days 00:00:01.074712,564.890625
0 days 00:00:00.673356,567.5703125
0 days 00:00:00.968420,566.6796875
0 days 00:00:01.251514,561.375
0 days 00:00:01.283944,570.0859375
0 days 00:00:00.839896,572.4921875
0 days 00:00:01.325356,571.21484375
0 days 00:00:01.268056,577.1171875
0 days 00:00:00.864533,577.75390625
0 days 00:00:01.259782,576.4921875
0 days 00:00:00.655387,578.48828125
0 days 00:00:00.963738,578.5
0 days 00:00:00.662954,582.00390625
0 days 00:00:00.791556,580.21875
0 days 00:00:01.126761,580.9921875
0 days 00:00:00.645860,582.74609375
0 days 00:00:00.983847,580.25
0 days 00:00:01.352207,585.25390625
0 days 00:00:01.172835,588.1328125
0 days 00:00:01.303414,591.41796875
0 days 00:00:00.675606,592.578125
0 days 00:00:00.943472,590.6796875
0 days 00:00:01.346034,595.28515625
0 days 00:00:01.138878,595.96875
0 days 00:00:00.650944,597.6796875
0 days 00:00:00.909606,594.8203125
0 days 00:00:00.958542,596.81640625
0 days 00:00:01.061391,600.8203125
0 days 00:00:01.152227,601.5390625
0 days 00:00:00.964258,606.19921875
0 days 00:00:00.643139,603.328125
0 days 00:00:00.821197,602.94140625
0 days 00:00:00.900583,602.46484375
0 days 00:00:00.971255,604.0546875
0 days 00:00:00.837970,604.02734375
0 days 00:00:00.858574,602.6796875
0 days 00:00:00.584916,605.10546875
0 days 00:00:01.068600,605.6796875
0 days 00:00:01.065770,608.390625
0 days 00:00:01.170178,609.828125
0 days 00:00:00.972059,608.05859375
0 days 00:00:00.942082,610.65625
0 days 00:00:01.309411,611.73046875
0 days 00:00:00.896940,619.52734375
0 days 00:00:00.998083,624.29296875
0 days 00:00:00.910874,620.98828125
0 days 00:00:01.007348,619.578125
0 days 00:00:00.904153,619.94921875
0 days 00:00:00.846922,625.546875
0 days 00:00:00.665869,624.9296875
0 days 00:00:01.134956,623.06640625
0 days 00:00:00.791786,624.96484375
0 days 00:00:00.681232,619.96875
0 days 00:00:00.700426,623.48046875
0 days 00:00:00.995048,622.86328125
0 days 00:00:01.306308,623.7421875
0 days 00:00:00.641727,627.7265625
0 days 00:00:01.136494,626.69140625
0 days 00:00:00.666461,628.875
0 days 00:00:01.164459,627.2578125
0 days 00:00:00.972233,628.49609375
0 days 00:00:01.016043,631.45703125
0 days 00:00:00.878694,633.5390625
0 days 00:00:00.967726,638.2265625
0 days 00:00:00.976469,639.8515625
0 days 00:00:00.690965,641.48046875
0 days 00:00:00.682404,640.94140625
0 days 00:00:00.808531,641.765625
0 days 00:00:01.303721,641.515625
0 days 00:00:00.831028,645.2734375
0 days 00:00:00.896526,644.1328125
0 days 00:00:00.677763,644.1328125
0 days 00:00:00.977786,642.24609375
0 days 00:00:00.707277,643.32421875
0 days 00:00:00.960136,645.49609375
0 days 00:00:01.632120,645.296875
0 days 00:00:00.948270,646.30859375
0 days 00:00:01.295791,648.9296875
0 days 00:00:00.981292,650.8125
0 days 00:00:00.887637,651.890625
0 days 00:00:00.633075,651.62109375
0 days 00:00:00.945010,652.37890625
0 days 00:00:01.088583,654.83984375
0 days 00:00:01.343011,665.37890625
0 days 00:00:00.856549,667.30078125
0 days 00:00:01.423499,661.1171875
0 days 00:00:00.737064,661.05078125
0 days 00:00:01.038211,661.63671875
0 days 00:00:00.607860,663.515625
0 days 00:00:00.668942,663.39453125
0 days 00:00:01.017050,661.97265625
0 days 00:00:00.979295,661.9765625
0 days 00:00:00.671876,664.23046875
0 days 00:00:01.239370,663.45703125
0 days 00:00:00.666424,664.703125
0 days 00:00:00.969547,666.3515625
0 days 00:00:00.666046,667.62109375
0 days 00:00:00.792016,668.140625
0 days 00:00:01.300109,668.66015625
0 days 00:00:01.160715,669.1875
0 days 00:00:00.990321,670.8203125
0 days 00:00:00.884049,672.1875
0 days 00:00:00.631637,672.7265625
0 days 00:00:00.986997,673.8046875
0 days 00:00:00.613829,675.56640625
0 days 00:00:00.863562,676.26953125
0 days 00:00:01.009175,677.89453125
0 days 00:00:00.689603,678.19921875
0 days 00:00:00.983411,677.95703125
0 days 00:00:00.691188,680.26171875
0 days 00:00:01.120111,680.3046875
0 days 00:00:00.864778,688.46875
0 days 00:00:00.882688,687.58984375
0 days 00:00:00.694179,686.0078125
0 days 00:00:01.064083,682.80078125
0 days 00:00:01.355993,687.8125
0 days 00:00:00.675508,687.859375
0 days 00:00:00.972580,687.125
0 days 00:00:00.809293,687.7265625
0 days 00:00:00.643630,688.26171875
0 days 00:00:00.682625,689.14453125
0 days 00:00:00.817616,689.51953125
0 days 00:00:00.654998,688.515625
0 days 00:00:00.948451,688.26953125
0 days 00:00:00.980649,690.54296875
0 days 00:00:00.828174,694.7734375
0 days 00:00:00.826803,695.3359375
0 days 00:00:01.089353,694.53515625
0 days 00:00:00.645672,695.44921875
0 days 00:00:01.335183,695.22265625
0 days 00:00:01.373845,705.8671875
0 days 00:00:00.601708,707.7421875
0 days 00:00:00.672155,701.140625
0 days 00:00:00.780482,702.22265625
0 days 00:00:01.165589,703.58203125
0 days 00:00:00.655612,704.29296875
0 days 00:00:00.803250,704.5859375
0 days 00:00:00.836544,704.875
0 days 00:00:00.834704,704.625
0 days 00:00:00.677816,703.28515625
0 days 00:00:00.618631,703.0546875
0 days 00:00:01.374390,705.7421875
0 days 00:00:01.006918,712.640625
0 days 00:00:00.882375,712.640625
0 days 00:00:00.683977,712.53125
0 days 00:00:00.957012,712.02734375
0 days 00:00:01.098653,713.16015625
0 days 00:00:00.654499,712.66015625
0 days 00:00:00.966206,712.6640625
0 days 00:00:00.888233,713.23828125
0 days 00:00:00.958243,713.42578125
0 days 00:00:01.139313,721.1171875
0 days 00:00:00.974782,721.19140625
0 days 00:00:00.969644,720.4453125
0 days 00:00:00.849881,720.984375
0 days 00:00:00.979474,722.05859375
0 days 00:00:00.899835,723.94140625
0 days 00:00:00.740864,724.765625
0 days 00:00:01.215157,725.5703125
0 days 00:00:00.628067,727.45703125
0 days 00:00:00.641725,727.45703125
0 days 00:00:00.652632,727.45703125
0 days 00:00:01.114498,727.453125
0 days 00:00:00.761972,729.0703125
0 days 00:00:00.650306,729.0703125
0 days 00:00:00.709585,729.0703125
0 days 00:00:00.688010,729.0703125
0 days 00:00:01.113017,729.0703125
0 days 00:00:00.924815,730.4140625
0 days 00:00:01.232636,732.90625
0 days 00:00:01.475119,732.65234375
0 days 00:00:00.974609,735.87890625
0 days 00:00:00.777033,735.875
0 days 00:00:00.913978,736.7890625
0 days 00:00:00.914378,737.87109375
0 days 00:00:00.876244,738.6796875
0 days 00:00:00.662026,738.5078125
0 days 00:00:01.311572,738.77734375
0 days 00:00:01.127378,741.14453125
0 days 00:00:00.663342,742.37109375
0 days 00:00:00.940031,742.89453125
0 days 00:00:00.869690,743.9921875
0 days 00:00:00.649352,744.80078125
0 days 00:00:01.233314,744.796875
0 days 00:00:01.370204,746.40625
0 days 00:00:01.190634,750.50390625
0 days 00:00:00.844282,749.75390625
0 days 00:00:00.831718,748.75390625
0 days 00:00:01.343344,748.5078125
0 days 00:00:02.149282,749.8203125
0 days 00:00:00.824712,750.921875
0 days 00:00:01.018522,751.359375
0 days 00:00:00.678608,751.109375
0 days 00:00:01.136273,751.17578125
0 days 00:00:00.708918,752.41796875
0 days 00:00:00.614944,754.70703125
0 days 00:00:01.317868,754.70703125
0 days 00:00:00.803718,755.5234375
0 days 00:00:00.735725,758.8828125
0 days 00:00:01.318022,758.890625
0 days 00:00:00.969317,761.921875
0 days 00:00:00.971804,761.57421875
0 days 00:00:00.924058,761.7421875
0 days 00:00:00.724467,765.3046875
0 days 00:00:00.670091,763.953125
0 days 00:00:01.326771,763.84375
0 days 00:00:00.909786,765.734375
0 days 00:00:00.831678,765.73046875
0 days 00:00:00.975591,767.78125
0 days 00:00:01.298932,767.81640625
0 days 00:00:01.074790,771.8515625
0 days 00:00:00.924073,771.84765625
0 days 00:00:00.804569,774.80859375
0 days 00:00:01.067526,774.81640625
0 days 00:00:00.990657,774.81640625
0 days 00:00:01.483085,775.1796875
0 days 00:00:00.695775,777.10546875
0 days 00:00:00.785989,780.515625
0 days 00:00:00.974686,780.296875
0 days 00:00:01.357070,783.125
0 days 00:00:00.832919,785.33203125
0 days 00:00:01.207325,786.14453125
0 days 00:00:00.678586,786.29296875
0 days 00:00:00.934787,786.84765625
0 days 00:00:00.666560,787.65234375
0 days 00:00:01.425966,787.66796875
0 days 00:00:00.668164,789.67578125
0 days 00:00:00.860633,789.92578125
0 days 00:00:01.100361,790.75
0 days 00:00:00.635108,795.828125
0 days 00:00:00.933190,795.57421875
0 days 00:00:00.683985,795.58984375
0 days 00:00:00.762877,796.58203125
0 days 00:00:01.250096,796.58203125
0 days 00:00:01.176928,796.59765625
0 days 00:00:01.456521,797.6875
0 days 00:00:00.950649,799.8359375
0 days 00:00:00.956612,801.3359375
0 days 00:00:00.935505,802.4140625
0 days 00:00:00.838254,802.4140625
0 days 00:00:01.510549,802.94921875
0 days 00:00:00.666128,804.19921875
0 days 00:00:00.672770,804.4765625
0 days 00:00:00.690436,804.50390625
0 days 00:00:00.765347,804.7734375
0 days 00:00:00.657703,805.85546875
0 days 00:00:00.977075,805.11328125
0 days 00:00:00.623100,805.91796875
0 days 00:00:01.159521,805.91796875
0 days 00:00:00.625621,806.453125
0 days 00:00:01.154127,807.55859375
0 days 00:00:00.805404,807.58203125
0 days 00:00:00.593974,807.8515625
0 days 00:00:00.846239,807.8515625
0 days 00:00:00.646376,807.8515625
0 days 00:00:00.907635,807.8515625
0 days 00:00:00.655756,808.12109375
0 days 00:00:00.942640,808.39453125
0 days 00:00:00.654516,809.19921875
0 days 00:00:00.636376,809.44140625
0 days 00:00:00.784200,809.7109375
0 days 00:00:00.652944,809.734375
0 days 00:00:01.307002,810.00390625
0 days 00:00:01.173103,811.47265625
0 days 00:00:00.811042,811.47265625
0 days 00:00:00.602918,813.75390625
0 days 00:00:01.011811,813.765625
0 days 00:00:00.781682,813.28515625
0 days 00:00:00.741615,813.30078125
0 days 00:00:00.660454,813.30078125
0 days 00:00:00.974034,813.05078125
0 days 00:00:00.812098,813.0703125
0 days 00:00:00.827280,813.0703125
0 days 00:00:00.773939,813.07421875
0 days 00:00:00.699181,813.3359375
0 days 00:00:00.939301,814.15625
0 days 00:00:00.826311,814.44140625
0 days 00:00:00.864895,815.3203125
0 days 00:00:01.413073,815.33203125
0 days 00:00:00.683496,818.0703125
0 days 00:00:01.605459,819.28125
0 days 00:00:00.944002,820.37109375
0 days 00:00:00.895861,825.11328125
0 days 00:00:00.805103,827.5390625
0 days 00:00:01.211109,829.55078125
0 days 00:00:01.096833,829.5546875
0 days 00:00:00.662109,830.4296875
0 days 00:00:01.122387,830.4296875
0 days 00:00:01.160164,833.81640625
0 days 00:00:00.796102,841.390625
0 days 00:00:00.642779,841.1484375
0 days 00:00:00.998374,839.8984375
0 days 00:00:00.970873,839.64453125
0 days 00:00:00.688458,839.64453125
0 days 00:00:00.824361,839.3984375
0 days 00:00:00.619623,839.3984375
0 days 00:00:00.856624,839.3984375
0 days 00:00:00.868029,839.3984375
0 days 00:00:00.879016,839.3984375
0 days 00:00:01.416568,839.39453125
0 days 00:00:01.066377,841.26953125
0 days 00:00:01.239964,844.03515625
0 days 00:00:00.966760,845.94140625
0 days 00:00:00.811209,854.765625
0 days 00:00:01.100914,854.76953125
0 days 00:00:01.006737,853.0234375
0 days 00:00:01.102440,853.01953125
0 days 00:00:00.595861,854.890625
0 days 00:00:01.305480,854.90234375
0 days 00:00:00.992587,855.9765625
0 days 00:00:01.384562,856.78125
0 days 00:00:01.153986,859.90625
0 days 00:00:00.727216,867.96484375
0 days 00:00:00.602614,867.4609375
0 days 00:00:01.382907,865.7109375
0 days 00:00:01.280327,865.2109375
0 days 00:00:00.669993,866.015625
0 days 00:00:00.834972,866.55078125
0 days 00:00:00.991608,866.5546875
0 days 00:00:00.814194,866.55078125
0 days 00:00:00.669591,866.55078125
0 days 00:00:00.979257,866.55078125
0 days 00:00:00.743826,871.30078125
0 days 00:00:00.974003,871.30078125
0 days 00:00:00.983245,870.79296875
0 days 00:00:00.609291,872.9609375
0 days 00:00:01.331152,872.95703125
0 days 00:00:01.186630,873.66015625
0 days 00:00:01.074905,876.890625
0 days 00:00:01.177365,881.55078125
0 days 00:00:00.700200,880.796875
0 days 00:00:01.238226,880.796875
0 days 00:00:00.664416,880.796875
