ID,type,input 1/kWh,input 2/kWh,output 1/kWh,output 2/kWh,capacity/kW,variable costs/CU,periodical costs/CU,investment/kW,max. invest./kW,constraints/CU
ID_electricity_bus_shortage,source,0,0,2.8,0,0.65,121139.21,0,0,0,76.67
ID_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_pv_bus_excess,sink,176.14,0,0.0,0,14.71,-900094.12,0,0,0,-1092.97
ID_hp_electricity_bus_shortage,source,0,0,2.56,0,0.36,110824.76,0,0,0,51.44
district_chp_electricity_bus_excess,sink,0.0,0,0.0,0,-0.0,0.0,0,0,0,0.0
district_gas_bus_shortage,source,0,0,0.0,0,0.0,0.0,0,0,0,0.0
ID_electricity_sink,sink,53.64,0,0.0,0,0.93,0.0,0,0,0,0.0
ID_heat_sink,sink,364.66,0,0.0,0,14.41,0.0,0,0,0,0.0
ID_heat_sink_window-insulation,insulation,0,0,263.79,0,10.42,0.0,3445.96,10.42,10.42,377638.95
ID_cooling_sink,sink,335.0,0,0.0,0,5.0,0.0,0,0,0,0.0
ID_pv_to_ID_electricity_link,link,88.05,0,88.05,0,9.24,0.0,0.0,20.0,20,0.0
ID_electricity_to_ID_hp_electricity_bus,link,36.07,0,36.07,0,3.25,0.0,0.0,20.0,20,0.0
ID_battery_storage,storage,56.73,0,55.59,0,30.77,0.0,12308.84,30.77,100,2154.05
ID_thermal_storage,storage,80.0,0,78.4,0,90.0,0.0,10000.0,100.0,100,7254.0
ID_photovoltaic_electricity_source,source,0,0,264.19,0,16.45,1350021.51,0.0,20.0,20,1800.0
ID_solar_thermal_source,source,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,20,0.0
ID_gasheating_transformer,transformer,0.0,0,0.0,0,-0.0,0.0,0.0,20.0,20,1400.0
ID_GCHP_transformer,transformer,4.8,15.91,20.7,0,3.12,0.0,0.0,20.0,20,2311.4
ID_ASCH_transformer,transformer,0.0,0.0,-0.0,0,0.0,0.0,0.0,20.0,20,2000.0
ID_AbsCH_transformer,transformer,19.7,393.92,335.0,0,5.0,0.0,0.0,20.0,20,2000.0
ID_ASHP_transformer,transformer,14.14,67.62,81.77,0,17.13,0.0,0.0,20.0,20,2255.6
ID_chp_transformer,transformer,0.0,0,0.0,0.0,-0.0,0.0,0.0,10000.0,10000,500000.0
