Processing Time,Memory Usage
0 days 00:00:00.458916,332.328125
0 days 00:00:00.162104,339.7734375
0 days 00:00:00.167814,342.09375
0 days 00:00:00.161759,340.5703125
0 days 00:00:00.163437,341.26171875
0 days 00:00:00.152597,341.0625
0 days 00:00:00.152322,339.125
0 days 00:00:00.159533,341.59375
0 days 00:00:00.164915,341.12890625
0 days 00:00:00.150878,340.64453125
0 days 00:00:00.154137,342.6171875
0 days 00:00:00.168393,343.51953125
0 days 00:00:00.167338,344.53125
0 days 00:00:00.185592,344.57421875
0 days 00:00:00.174029,343.9453125
0 days 00:00:00.169160,343.796875
0 days 00:00:00.175393,344.16015625
0 days 00:00:00.183713,345.20703125
0 days 00:00:00.179104,344.96875
0 days 00:00:00.177926,344.41796875
0 days 00:00:00.193474,337.9921875
0 days 00:00:00.184251,344.40625
0 days 00:00:00.178316,344.6484375
0 days 00:00:00.329192,343.515625
0 days 00:00:00.199700,344.26953125
0 days 00:00:00.193866,344.39453125
0 days 00:00:00.183216,338.8046875
0 days 00:00:00.191233,345.08984375
0 days 00:00:00.186816,346.0703125
0 days 00:00:00.180738,346.40625
0 days 00:00:00.196109,346.27734375
0 days 00:00:00.195278,345.60546875
0 days 00:00:00.197820,345.359375
0 days 00:00:00.193651,346.28515625
0 days 00:00:00.196978,346.359375
0 days 00:00:00.211916,345.6484375
0 days 00:00:00.203935,346.453125
0 days 00:00:00.214342,345.22265625
0 days 00:00:00.209150,345.35546875
0 days 00:00:00.353602,345.49609375
0 days 00:00:00.241129,345.59375
0 days 00:00:00.247479,346.1640625
0 days 00:00:00.245356,346.1171875
0 days 00:00:00.236091,346.9375
0 days 00:00:00.235295,346.19140625
0 days 00:00:00.247327,347.0
0 days 00:00:00.260415,346.44140625
0 days 00:00:00.259236,347.140625
0 days 00:00:00.251897,345.4375
0 days 00:00:00.250367,345.4609375
0 days 00:00:00.261928,346.37890625
0 days 00:00:00.247697,346.3671875
0 days 00:00:00.266071,345.48828125
0 days 00:00:00.257972,347.09765625
0 days 00:00:00.266789,345.1484375
0 days 00:00:00.262781,346.5703125
0 days 00:00:00.407284,346.046875
0 days 00:00:00.267209,346.6484375
0 days 00:00:00.269721,345.3203125
0 days 00:00:00.273888,346.35546875
0 days 00:00:00.276093,346.921875
0 days 00:00:00.286655,347.1484375
0 days 00:00:00.296565,346.234375
0 days 00:00:00.284630,346.3046875
0 days 00:00:00.284728,346.31640625
0 days 00:00:00.314534,346.7734375
0 days 00:00:00.306112,346.73046875
0 days 00:00:00.301880,347.26953125
0 days 00:00:00.356198,346.60546875
0 days 00:00:00.281697,347.0546875
0 days 00:00:00.282095,347.26953125
0 days 00:00:00.304118,347.609375
0 days 00:00:00.377172,346.3984375
0 days 00:00:00.442220,347.20703125
0 days 00:00:00.302615,347.37109375
0 days 00:00:00.300959,345.52734375
0 days 00:00:00.287948,347.203125
0 days 00:00:00.331681,340.10546875
0 days 00:00:00.291045,344.515625
0 days 00:00:00.291321,344.21484375
0 days 00:00:00.292857,344.4375
0 days 00:00:00.279342,344.59765625
0 days 00:00:00.278387,344.3984375
0 days 00:00:00.284442,345.90234375
0 days 00:00:00.281782,345.71484375
0 days 00:00:00.270545,345.61328125
0 days 00:00:00.289690,345.7265625
0 days 00:00:00.292285,338.38671875
0 days 00:00:00.283319,344.93359375
0 days 00:00:00.276273,344.78125
0 days 00:00:00.433703,344.87890625
0 days 00:00:00.268918,344.7734375
0 days 00:00:00.274638,345.84765625
0 days 00:00:00.275670,345.375
0 days 00:00:00.266820,345.765625
