Costs,Emissions,Folder
6245.09,4856190.6,2
6146.85,7409209.74,3
6629.15,5421589.67,5
6048.81,4863495.03,6
5984.14,5172896.66,7
6592.98,4955912.26,8
6578.88,4692357.03,9
6403.05,5312200.05,10
6239.71,5045196.48,11
6617.74,6054296.45,12
4756.3,5545701.08,13
5860.2,5277722.86,14
5625.76,4870989.52,15
6899.35,6842756.18,16
7174.04,6993792.3,17
5365.39,5141296.64,18
6747.71,6117862.68,19
5896.34,4536838.15,20
6455.64,6073838.63,21
6276.5,4621254.79,22
6772.21,6804078.36,23
5548.75,5855300.28,24
7966.39,4943577.46,26
6800.28,4819487.93,28
7105.32,6186772.91,30
6079.0,7068262.9,31
5647.28,5241863.26,32
6614.99,9117647.48,33
5095.0,5409687.15,34
5554.31,6302287.74,35
6453.89,4891597.44,36
5755.99,5317347.11,37
4724.6,4495703.35,38
6253.47,4582230.04,39
6619.7,6933557.19,40
6799.48,5271494.85,41
6616.8,4948469.23,42
7192.7,4351461.92,43
5271.85,5531823.21,44
7174.53,4672345.27,45
5614.14,5610440.04,46
6431.61,4687060.39,47
5987.0,5228613.09,48
6431.68,6068714.44,49
6534.76,7256789.24,50
5978.31,4631532.72,51
5559.82,4427482.0,52
7451.05,5303088.87,53
6119.81,4955598.69,54
6674.16,8382681.51,55
4967.55,5897346.46,56
7251.5,7011818.68,57
5657.02,7417389.41,58
5973.79,8331172.43,59
6856.48,4839373.98,60
5001.59,5318042.29,61
6889.42,4848702.55,62
6221.5,8105193.65,63
5296.79,5683463.58,64
6899.24,4951386.6,65
5454.18,6292878.4,66
5213.23,5727985.09,67
7401.15,4361852.78,68
6959.42,4949131.01,69
7083.32,5624958.4,70
5017.37,5571895.97,71
6321.52,4436070.27,72
5814.86,5966462.18,73
6189.04,6909957.85,74
6059.57,5148890.02,75
5796.77,4573799.24,76
7661.04,4746030.81,77
6692.98,5516760.82,79
7137.44,4953643.0,81
6932.47,5033331.35,82
5491.3,4658896.64,83
5994.14,6212038.69,84
5772.34,6223000.91,85
5132.7,5850131.33,86
5111.9,5349543.81,87
5953.04,8085511.57,90
7203.97,4908784.32,92
6531.39,5334300.66,93
4828.46,5701513.55,94
6886.83,6949035.01,95
4798.89,5421382.25,96
6585.68,5184567.83,97
6107.49,4497711.61,99
6952.92,4765412.81,100
6371.81,7051392.96,101
5356.77,4550610.53,102
5731.94,4857411.57,103
6603.41,7830799.53,104
7950.06,6312727.4,105
7714.77,4897880.77,106
5579.14,5016579.41,107
5242.18,4823387.22,108
5469.18,6853713.1,109
5214.56,6019339.03,110
5723.49,6167185.87,111
6546.08,5633450.21,112
5446.29,4560056.84,113
6583.08,5212492.32,114
5260.85,6205390.33,115
7367.88,4508833.44,117
6154.45,4840462.97,118
5470.24,5640832.37,119
6747.36,7892482.98,120
6898.99,5654104.2,121
5958.77,4447799.62,122
5242.47,4778169.82,123
5503.17,7785968.67,124
5298.37,5392831.51,125
5279.93,4970006.87,126
7581.48,4971615.64,127
6594.48,5118620.13,128
5313.23,7106383.74,129
5959.86,7369585.84,130
5533.46,5589826.43,131
6597.39,8721390.89,132
6991.02,4661612.03,133
6326.88,5027994.02,134
6966.41,4733645.95,135
4979.7,6178525.02,136
6580.62,4846157.76,137
5724.37,6011473.64,138
5226.06,6467371.56,139
6550.23,5163155.45,140
5619.07,5540177.63,141
7790.13,8298107.81,142
5478.2,5515376.8,144
6519.22,5591413.66,145
6317.74,7825352.44,146
5413.45,7058796.02,147
6991.04,4948996.23,148
5477.05,5908337.89,149
5027.41,6755808.08,150
7109.66,5003192.13,151
7434.03,4601830.54,152
6491.1,7153701.97,153
5228.66,4864416.91,154
6045.69,5814776.8,155
6098.62,6943656.29,156
6328.3,8098890.88,157
6911.86,4403196.86,158
5296.1,6137638.24,159
6048.68,6227754.09,160
6120.6,4714618.85,161
7244.15,4930505.45,162
6192.89,4945699.74,163
7231.64,4607274.8,164
6250.0,4823298.29,165
5118.19,5094884.04,166
6374.49,4873253.0,167
5677.76,6357959.58,168
6717.6,7012026.74,169
6519.89,6079667.18,170
6122.14,4854965.53,171
5009.07,6323482.31,172
5706.93,5437537.77,173
5888.57,5493951.68,174
7073.76,5977411.1,175
6186.03,5091177.3,176
6372.04,5871992.34,177
5986.7,6689192.05,178
6543.67,7152444.72,179
5575.76,5084709.05,180
5706.59,5687611.91,181
7183.47,5206936.31,182
6144.77,5898960.8,183
5996.58,6611959.7,184
6775.74,5075193.67,185
6073.53,6876207.67,187
6277.2,7504577.5,188
5904.97,6179410.99,189
5872.49,4349965.33,190
6629.78,4833457.1,191
7643.11,4840350.52,192
6916.84,4780275.42,193
6528.99,4620677.54,194
6379.87,5594319.39,195
6009.3,6880913.44,196
5000.35,5449899.54,197
6014.82,5451095.1,198
6760.98,4865115.33,199
8279.26,5713656.54,200
6424.38,4847909.62,201
5682.71,4996272.66,202
5158.21,4867410.4,203
7156.58,4702200.4,204
7552.13,5812547.31,205
4806.79,6221511.57,206
5925.11,4612903.97,207
6479.34,5940910.46,208
6751.8,6001417.5,209
5929.56,5026534.0,210
5185.17,6723379.13,211
5557.19,7542712.09,212
7070.73,7822640.13,213
6394.78,7304682.8,214
6075.46,6739308.74,215
7126.35,5126538.13,216
5904.29,4625928.4,217
7130.12,7227958.34,218
7385.8,5251925.62,219
7498.67,5706911.22,220
6628.13,6931286.03,221
6914.34,5022772.67,222
6700.82,5140621.02,224
5182.42,4653384.97,225
6122.67,6537700.48,226
7251.04,5411834.44,227
6015.05,6362944.63,228
6609.71,4823629.41,229
8193.24,7876308.43,230
6585.16,5272500.85,231
5509.89,5407622.47,232
6740.92,4980049.84,233
5413.51,4590603.51,234
5169.08,7700256.83,235
6207.33,4977989.61,236
6944.33,5767163.53,237
5729.25,5159608.43,238
7171.42,4562130.58,239
7531.71,7262041.98,240
5616.3,4653023.37,241
5120.18,6961200.72,242
6233.12,5464507.67,243
5645.25,4495143.48,244
6215.42,6625311.11,245
6988.9,6662479.74,246
5302.66,4571978.94,248
5735.44,5868741.43,249
5735.23,5728322.33,250
7238.96,4500974.17,251
6868.93,4502600.94,252
6998.54,5030573.86,253
6681.59,5956084.11,254
6163.23,4870007.26,255
5860.56,4499102.21,256
7276.75,5381055.06,257
6361.52,7361927.33,258
5373.91,5472999.08,259
4817.61,4623843.32,260
6699.38,4917487.0,262
6677.05,5150606.13,263
5877.49,4449948.97,264
6276.7,7740930.05,265
5955.6,8612924.77,266
6137.44,6349595.7,267
4800.0,5902140.63,268
6613.1,6733390.08,269
5498.56,7531237.08,270
6328.73,4435865.57,271
4919.78,7096539.57,272
7470.52,4754062.61,273
7373.86,4980232.87,274
5122.01,5177937.25,275
6728.87,5741672.52,276
5824.59,5381737.28,277
6094.67,8680346.27,278
5880.67,5448828.01,279
6782.83,6716897.72,280
6897.18,4575716.21,281
4896.71,4883814.29,282
5928.75,5400822.13,284
6661.51,6887370.16,285
7519.52,8153831.58,286
6861.03,4655448.02,287
6966.43,5067066.51,288
6814.75,4761971.25,289
6192.25,4988137.96,290
5055.22,5018968.86,291
6884.74,6581139.25,292
5333.61,5525437.96,293
7378.32,4437902.45,294
6530.93,4944659.05,295
5827.43,5095516.55,296
7437.03,6845914.78,297
6128.39,5194625.21,298
5898.46,4531160.84,299
7636.63,5092579.15,300
5488.56,4714583.07,301
5481.81,4977169.17,302
4745.44,5400130.71,303
6463.4,7246429.49,304
5197.97,6857964.84,305
5043.44,4638735.94,306
6893.89,4802964.89,307
6952.81,5866466.55,308
7058.83,6063372.62,310
6416.88,6948060.13,311
6062.66,4966681.53,313
6663.09,6375157.61,314
5627.61,6174985.03,315
5371.91,4653122.61,316
5403.52,4717928.28,317
5776.55,6040293.14,318
6789.45,6783976.3,319
6641.75,7252247.42,320
6303.07,5623592.38,321
5010.57,4412976.62,322
6130.1,6640842.59,323
6304.52,5731912.59,324
5675.7,6808652.99,325
5487.83,5791377.32,326
5763.59,5106547.42,327
6955.98,7683166.29,328
5759.91,4540538.67,329
6476.98,5768653.43,331
6320.7,6595144.85,333
6198.16,4432084.16,334
7614.22,8341758.0,335
7139.3,5152824.35,336
7056.48,6132763.82,338
6671.95,4737791.38,339
6593.97,5788126.04,340
7091.0,4982651.42,341
6925.34,4814122.64,342
7225.3,7211120.0,343
5039.28,5861978.6,344
6502.69,6986823.79,345
6803.38,8868129.54,346
6574.95,7657254.04,347
6857.07,5285372.79,348
7320.62,4424816.12,349
6964.25,4571345.31,350
5859.21,5575157.47,351
6891.2,5103730.48,352
6416.58,5052727.18,353
5727.71,5964974.91,355
7200.82,4654899.53,356
6595.97,6849837.71,357
6447.62,4691670.12,358
6298.97,4473502.87,359
6100.64,6420507.74,360
6868.11,5090216.0,361
5287.35,6302371.55,362
6451.01,5321129.49,363
6667.13,6687466.65,364
4760.98,4993935.92,365
7820.7,6254463.94,367
5738.64,4678935.61,368
7043.27,4512364.33,369
6485.2,6912133.82,371
6228.55,7991210.11,372
7213.95,5304465.57,373
7758.02,4658417.33,374
6060.07,4896596.54,375
5554.22,5903612.43,376
6905.77,5217154.46,377
5603.04,4949813.47,379
6502.01,7303452.39,380
5028.43,7257513.82,381
6162.87,7291881.92,382
6266.64,4924547.45,383
6887.66,4595430.35,384
6413.06,7316792.75,385
7022.35,5475314.91,386
7445.09,5965246.3,387
7403.15,6762572.26,388
6694.03,5636260.17,389
5885.78,4644754.68,390
6671.47,6085048.71,391
6751.23,4786388.57,392
5623.71,7198835.35,393
7469.75,4939076.25,394
5650.3,6503097.28,395
6121.31,5462713.45,396
5833.64,7072394.88,397
7645.41,5751222.42,398
5722.88,4751510.41,399
6163.99,4654122.55,400
7108.25,7173980.05,401
6282.17,7572452.02,402
8090.91,4588044.04,403
6176.68,7914842.74,404
5950.43,4498368.61,405
6224.93,5138811.17,406
7400.58,6692785.12,408
6295.97,4753076.93,409
5515.19,5514173.68,410
5833.55,5253062.66,412
6771.01,6962413.83,413
5734.66,7223420.34,414
5467.07,6441825.47,415
5691.95,5114585.12,416
5903.5,4676230.4,417
4904.75,5165285.04,418
5465.79,4995730.74,422
6091.11,4690204.99,423
6737.35,5553116.75,424
6153.4,4993543.99,425
5573.55,5470139.97,426
6375.4,6223698.93,427
5192.39,6072113.96,428
5898.27,4457604.08,429
7737.8,4604413.17,430
5183.31,5487947.7,431
6772.09,5411059.57,432
7553.38,4620316.25,433
4867.92,4816427.07,434
5535.24,5070788.1,435
6398.49,6287557.67,436
5517.41,5178425.48,437
5285.38,5528561.9,438
5744.56,8238501.67,439
5804.7,6022279.21,440
6556.34,5053256.86,441
5490.71,6749706.03,442
5656.33,4931682.1,443
6956.13,5178100.23,444
6172.71,5927807.36,445
5605.23,5081225.6,448
6133.36,5166367.68,449
5970.66,4418563.25,450
5331.79,5466579.71,451
5485.62,4724122.16,452
6999.56,6399912.2,453
7228.12,4583479.88,454
5372.37,4970271.94,455
5456.88,5056131.44,456
5869.94,5548925.53,457
6040.52,5561534.56,459
7834.02,4994966.78,460
5599.69,7510831.43,461
6001.27,7614717.76,462
6342.58,4876659.45,463
6784.1,5104941.79,464
7317.41,7485401.39,465
5952.81,5369465.72,466
5296.09,4596310.11,467
4880.11,6039697.64,468
6140.73,7096369.65,469
5638.04,4861182.02,470
6697.12,4868293.28,472
6393.93,8007110.5,473
6013.29,5116887.79,474
5576.62,5634871.84,476
5757.9,5410569.86,477
5273.39,5490005.66,478
5312.83,4735053.32,479
5783.06,5244051.89,480
5982.6,5785249.5,481
6940.88,6585120.06,482
6116.5,7461084.07,483
6604.35,5722248.9,484
5747.25,6658877.75,485
6076.43,5330478.97,486
6759.99,4946534.13,487
5360.52,5887370.22,488
6846.99,4461335.97,489
6171.11,4861034.26,490
7028.11,5496032.31,491
5679.06,5146415.97,493
6211.14,5911823.55,494
6247.64,5349353.57,495
5135.28,4754564.93,497
6062.72,4567649.14,498
6420.77,5291412.55,499
5816.29,7377811.81,501
5529.28,5100273.78,502
5203.34,5179068.41,504
7435.64,4574555.79,505
6862.89,5108654.95,506
6058.47,5160531.13,507
4848.96,4523706.75,508
5964.92,4816634.93,509
5712.95,4464513.88,510
5576.38,5902887.95,511
6547.13,5503270.42,512
5766.31,6100449.66,513
5297.58,7331032.66,514
6818.58,7989663.4,515
5852.76,4920972.04,516
5519.51,6119609.36,517
6984.3,7900674.23,518
7000.29,4818978.97,519
4550.94,5185365.02,520
5784.4,5582708.89,521
6563.09,5465519.31,522
6501.66,5553892.65,523
6273.75,5123136.33,524
6522.81,4345579.21,525
5538.48,5665385.31,526
7385.96,5967043.08,527
6185.4,4548587.26,528
7112.07,7040059.38,529
4780.58,4753266.16,530
5966.09,5194422.08,531
6226.69,4583622.7,533
6372.65,5013670.17,534
5979.9,4774348.23,535
6528.29,6295823.73,536
6726.65,8744542.66,537
5818.25,4843223.58,538
6874.39,6899714.06,539
5451.41,5539329.25,540
6584.18,8434938.63,541
5545.46,4407144.8,542
