date,EFH_electricity_bus_shortage_output1,EFH_pv_bus_excess_input1,EFH_hp_electricity_bus_shortage_output1,EFH_pv_to_EFH_electricity_link_input1,EFH_pv_to_EFH_electricity_link_output1,EFH_battery_storage_input1,EFH_battery_storage_output1,EFH_battery_storage_capacity,EFH_thermal_storage_input1,EFH_thermal_storage_output1,EFH_thermal_storage_capacity,EFH_electricity_to_EFH_hp_electricity_bus_input1,EFH_electricity_to_EFH_hp_electricity_bus_output1,EFH_electricity_sink_input1,EFH_heat_sink_input1,EFH_GCHP_transformer_input1,EFH_GCHP_transformer_input2,EFH_GCHP_transformer_output1,EFH_ASHP_transformer_input1,EFH_ASHP_transformer_input2,EFH_ASHP_transformer_output1,EFH_photovoltaic_electricity_source_output1
2011-12-02 00:00:00,0.3751923,0.0,0.011976395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.37519230085001637,0.0517054354009453,0.011976395,0.03972904,0.051705435,0.0,-0.0,0.0,0.0
2011-12-02 01:00:00,0.27936926,0.0,0.013881731,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.27936925700767,0.059931300123822966,0.013881731,0.046049569,0.0599313,0.0,-0.0,0.0,0.0
2011-12-02 02:00:00,0.2535923,0.0,0.011704205,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.25359229784540144,0.050530311869105636,0.011704205,0.038826107,0.050530312,0.0,-0.0,0.0,0.0
2011-12-02 03:00:00,0.23871706,0.0,0.021775264,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.2387170565897049,0.09400988254717327,0.021775264,0.072234618,0.094009883,0.0,0.0,-0.0,0.0
2011-12-02 04:00:00,0.24849804,0.0,0.051988443,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.24849803714139576,0.22444859458137617,0.051988443,0.17246015,0.22444859,0.0,0.0,-0.0,0.0
2011-12-02 05:00:00,0.30188589,0.0,0.16413105,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.301885889319375,0.7085994896993185,0.16413105,0.54446844,0.70859949,0.0,0.0,-0.0,0.0
2011-12-02 06:00:00,0.49872812,0.0,0.25858126,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.49872812292215346,1.1163673552476827,0.25858126,0.85778609,1.1163674,0.0,0.0,-0.0,0.0
2011-12-02 07:00:00,0.66077656,0.0,0.21856921,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,-0.0,0.0,0.6607765559165734,0.9436241960672517,0.21856921,0.72505498,0.9436242,0.0,0.0,-0.0,0.0
2011-12-02 08:00:00,0.0,1.9615049,0.0,0.88840405,0.88840405,0.0,0.0,1.0,0.0,0.0,2.0,0.16685296,0.16685296,0.7215510861153607,0.7203507250177151,0.16685296,0.55349776,0.72035073,0.0,0.0,-0.0,2.849909
2011-12-02 09:00:00,0.0,1.2345739,0.0,2.3560063,2.3560063,1.4694202,0.0,2.4694202,0.0,0.0,2.0,0.15265601,0.15265601,0.7339301396260944,0.6874472661262045,0.0,-0.0,0.0,0.15265601,0.53479126,0.68744727,3.5905802
